Date,value
6/29/2010,12.66667
6/30/2010,17.19333
7/1/2010,16.66667
7/2/2010,15.33333
7/6/2010,13.33333
7/7/2010,10.93333
7/8/2010,10.76
7/9/2010,11.72
7/12/2010,11.96667
7/13/2010,11.59333
7/14/2010,11.96
7/15/2010,13.29333
7/16/2010,13.8
7/19/2010,14.24667
7/20/2010,14.56667
7/21/2010,13.77333
7/22/2010,13.66667
7/23/2010,14.12667
7/26/2010,14.33333
7/27/2010,13.94
7/28/2010,13.7
7/29/2010,13.84667
7/30/2010,13.46667
8/2/2010,13.66667
8/3/2010,14
8/4/2010,14.63333
8/5/2010,14.36
8/6/2010,13.4
8/9/2010,13.26667
8/10/2010,13.1
8/11/2010,12.46
8/12/2010,11.86667
8/13/2010,12.12
8/16/2010,12.3
8/17/2010,12.64
8/18/2010,13.06
8/19/2010,12.36
8/20/2010,12.43333
8/23/2010,12.72667
8/24/2010,12.83333
8/25/2010,12.77333
8/26/2010,13.26
8/27/2010,13.16667
8/30/2010,13.13333
8/31/2010,13.10667
9/1/2010,13.08
9/2/2010,13.58
9/3/2010,13.91333
9/7/2010,13.74
9/8/2010,13.77333
9/9/2010,14
9/10/2010,13.83333
9/13/2010,13.92667
9/14/2010,13.69333
9/15/2010,13.98667
9/16/2010,14.76667
9/17/2010,14.01333
9/20/2010,13.78
9/21/2010,13.92667
9/22/2010,13.91333
9/23/2010,13.26
9/24/2010,13.3
9/27/2010,13.6
9/28/2010,14.02667
9/29/2010,14.12667
9/30/2010,14.66667
10/1/2010,13.79333
10/4/2010,13.62
10/5/2010,14.1
10/6/2010,14.04
10/7/2010,13.71333
10/8/2010,13.62
10/11/2010,13.62667
10/12/2010,13.46667
10/13/2010,13.76
10/14/2010,14
10/15/2010,13.92667
10/18/2010,13.68
10/19/2010,13.46667
10/20/2010,13.44
10/21/2010,13.74
10/22/2010,13.78667
10/25/2010,13.96
10/26/2010,13.86667
10/27/2010,14.16667
10/28/2010,14.26
10/29/2010,14.09333
11/1/2010,14.62667
11/2/2010,14.45333
11/3/2010,14.18667
11/4/2010,15.06667
11/5/2010,16.58
11/8/2010,16.33333
11/9/2010,16.66667
11/10/2010,16.32
11/11/2010,19.06667
11/12/2010,18.83333
11/15/2010,20.14667
11/16/2010,20.66667
11/17/2010,20.13333
11/18/2010,20.44667
11/19/2010,20.10667
11/22/2010,21.04667
11/23/2010,22.19333
11/24/2010,23.51333
11/26/2010,23.73333
11/29/2010,23.60667
11/30/2010,22.49333
12/1/2010,23.91333
12/2/2010,22.67333
12/3/2010,21.34
12/6/2010,20.9
12/7/2010,20.32667
12/8/2010,21.65333
12/9/2010,21.67333
12/10/2010,21.36667
12/13/2010,21.09333
12/14/2010,20.19333
12/15/2010,19.11333
12/16/2010,20
12/17/2010,20.89333
12/20/2010,21.09333
12/21/2010,21.2
12/22/2010,21.5
12/23/2010,20.84
12/27/2010,18.68
12/28/2010,17.23333
12/29/2010,18.02
12/30/2010,18.46667
12/31/2010,17.71333
1/3/2011,17.89333
1/4/2011,17.77333
1/5/2011,17.65333
1/6/2011,17.88667
1/7/2011,18.66667
1/10/2011,18.78
1/11/2011,19.06
1/12/2011,18.00667
1/13/2011,17.97333
1/14/2011,17.43333
1/18/2011,16.98667
1/19/2011,16.84667
1/20/2011,16.02
1/21/2011,15.41333
1/24/2011,15.68667
1/25/2011,16.43333
1/26/2011,16.47333
1/27/2011,16.49333
1/28/2011,16.58667
1/31/2011,16.03333
2/1/2011,16.20667
2/2/2011,16.10667
2/3/2011,15.88
2/4/2011,15.62667
2/7/2011,15.50667
2/8/2011,15.85333
2/9/2011,16.08667
2/10/2011,15.50667
2/11/2011,15.5
2/14/2011,15.76
2/15/2011,15.34
2/16/2011,15.4
2/17/2011,16.42
2/18/2011,15.55333
2/22/2011,15.25333
2/23/2011,14.78667
2/24/2011,14.52
2/25/2011,15.20667
2/28/2011,15.82667
3/1/2011,16.03333
3/2/2011,15.88
3/3/2011,16.32
3/4/2011,16.32
3/7/2011,16.62
3/8/2011,16.4
3/9/2011,16.44
3/10/2011,16.29333
3/11/2011,15.9
3/14/2011,15.88
3/15/2011,14.8
3/16/2011,15.24
3/17/2011,15.49333
3/18/2011,15.46
3/21/2011,15.36667
3/22/2011,15.15333
3/23/2011,14.74
3/24/2011,14.76
3/25/2011,14.95333
3/28/2011,15.13333
3/29/2011,15.53333
3/30/2011,16.07333
3/31/2011,17.7
4/1/2011,18.3
4/4/2011,17.88667
4/5/2011,17.26667
4/6/2011,17.99333
4/7/2011,17.9
4/8/2011,18.38667
4/11/2011,17.64667
